06-jul;GASTOS FIJOS;EDENOR;$562.123,41 ;;;SAFARM FARMACIA RUSSO;dinero que pago la farmacia
08-jul;GASTOS FIJOS;ALQUILER GALPON;$4.178.896,00 ;;;RAMIRO;pago de ramiro por fuera del credicoop 
08-jul;GASTOS FIJOS;SEGURO GALPON;$195.266,00 ;;;RAMIRO;pago de ramiro por fuera del credicoop 
08-jul;GASTOS FIJOS;SUELDO RANQUEL Y AGUINALDO;$945.000,00 ;;;CARUCHA;efectivo de la plata de carucha 
08-jul;GASTOS FIJOS;SUELDO FELIPE Y AGUINALDO;$945.000,00 ;;;CARUCHA;efectivo de la plata de carucha 
08-jul;GASTOS FIJOS;SUELDO MARTIN Y AGUINALDO;$4.500.000,00 ;;;CARUCHA;efectivo de la plata de carucha 
08-jul;APORTE DE CAPITAL ;CAJA CHICA;;$756.500,00 ;;CARUCHA;efectivo de la plata de carucha 
08-jul;GASTOS DIARIOS;ESCALERITA;$75.000,00 ;;;CARUCHA;efectivo de la plata de carucha 
08-jul;GASTOS DIARIOS;FERRETERIA;$35.000,00 ;;;CARUCHA;efectivo de la plata de carucha 
09-jul;GASTOS FIJOS;AYSA;$208.036,97 ;;;CARUCHA;efectivo de la plata de carucha 
09-jul;GASTOS FIJOS;claro wifi;$32.921,89 ;;;CARUCHA;efectivo de la plata de carucha 
13-jul;GASTOS DIARIOS;alquiler clark  isolant;$55.000,00 ;;;CARUCHA;efectivo de la plata de carucha 
13-jul;GASTOS DIARIOS;FLETE A ISOLANT;$450.000,00 ;;;BANCO CREDICOOP;banco
13-jul;GASTOS DIARIOS;AGUA IVESS;$8.200,00 ;;;CARUCHA;efectivo de la plata de carucha 
14-jul;GASTOS DIARIOS;BOLSAS CONSORCIO/ ART LIMPIEZA;$46.000,00 ;;;CARUCHA;efectivo de la plata de carucha 
14-jul;GASTOS FIJOS;ABL;$203.715,00 ;;;BANCO CREDICOOP;banco
14-jul;GASTOS DIARIOS;FLETE PEDIDOS VARIOS;$110.000,00 ;;;BANCO CREDICOOP;banco
20-jul;GASTOS DIARIOS;FLETE PEDIDOS VARIOS;$110.000,00 ;;;BANCO CREDICOOP;banco
20-jul;GASTOS DIARIOS;FERRETERIA/BOLSAS DE CONSORCIO/ GASTOS VARIOS;$37.000,00 ;;;CARUCHA;efectivo de la plata de carucha 
22-jul;GASTOS DIARIOS;AGUA IVESS;$38.000,00 ;;;CARUCHA;efectivo de la plata de carucha 
23-jul;GASTOS DIARIOS;BOLSAS CONSORCIO/ ART LIMPIEZA;$45.000,00 ;;;CARUCHA;efectivo de la plata de carucha 
24-jul;APORTE DE CAPITAL ;CAJA CHICA;;$1.000.000,00 ;;BANCO CREDICOOP;banco
